date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
1/29/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,(not set),(not set),1,0,94,0,0,1,0,0
1/29/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Sanford,1,0,15,0,0,1,0,0
1/29/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Sulaymaniyah Governorate,(not set),1,1,0,1,0,1,1,0
1/30/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,(not set),Addis Ababa,1,0,159,0,0,1,0,0
1/31/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),Dar es Salaam,1,0,0,0,0,1,1,0
1/31/2019,/everyone-transfer-students/thank-you,applyweb.com,referral,(not set),(not set),(not set),(not set),1,0,736,1,0,2,1,736
1/31/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,New Hampshire,Somersworth,1,0,0,0,0,1,1,0
2/1/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Univ. of Southern Maine,FY2019_Graduate,Maine,Cumberland,1,0,8,0,0,2,0,0
2/1/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),Addis Ababa,1,1,0,1,0,1,1,0
2/1/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Kigali City,Kigali,1,0,264,0,0,2,0,0
2/1/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Lagos,Lagos,1,0,31,0,0,2,1,0
2/1/2019,/everyone-online-degree-seekers/thank-you,(direct),(none),(not set),(not set),Maine,Portland,1,1,0,1,1,1,1,0
2/1/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Hajdu-Bihar,Debrecen,1,0,118,0,0,1,0,0
2/2/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Westbrook,1,0,93,0,0,1,0,0
2/2/2019,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Maine,Scarborough,1,0,29,0,0,1,0,0
2/3/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Raymond,1,0,62,0,0,2,0,0
