Ad Content,Source / Medium,Date,Unique Pageviews,Sessions,Exits,Entrances,Bounces,Time on Page,Session Duration
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190404,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190409,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190412,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190414,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190417,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_2,Facebook / Carousel,20190419,1,1,1,1,0,0:00:21,0:00:21
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190312,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190324,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190330,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190411,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_1,Facebook / PageLink,20190427,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190320,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190403,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190411,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190416,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190419,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190421,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190424,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190426,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_2,Facebook / PageLink,20190427,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190315,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190316,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190317,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190322,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190326,1,1,1,1,0,0:02:26,0:02:28
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190329,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190402,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190403,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190406,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190410,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190424,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190425,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190426,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_3,Facebook / PageLink,20190427,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190313,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190315,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190320,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190321,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190329,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190331,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190402,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190404,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190417,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190419,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190423,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190426,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_4,Facebook / PageLink,20190428,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190313,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190314,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190327,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190331,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190402,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190406,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190411,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190412,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190413,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190414,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190416,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190423,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_DISP_TL_UG_S_5,Facebook / PageLink,20190426,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190311,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190331,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190411,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190416,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190419,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190425,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_1,Facebook / Video,20190426,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_2,Facebook / Video,20190311,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_VID_TL_UG_D_2,Facebook / Video,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190311,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190323,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190330,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190410,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190417,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190422,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190423,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190424,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_1,Facebook / Carousel,20190428,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190311,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190319,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190320,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190321,1,1,1,1,0,0:00:19,0:00:19
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190322,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190327,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190328,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190329,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190331,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_CAR_TL_UG_I_2,Instagram / Carousel,20190404,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190321,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190328,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190329,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190401,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190406,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190409,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190410,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190412,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190420,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190422,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_1,Instagram / PageLink,20190424,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190313,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190316,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190321,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190324,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190325,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190328,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190401,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190404,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190409,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190410,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190416,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190417,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_2,Instagram / PageLink,20190427,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190320,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190321,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190326,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190327,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190328,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190404,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190406,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_3,Instagram / PageLink,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190314,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190316,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190320,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190323,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190325,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190330,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190413,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190414,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190415,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190416,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_4,Instagram / PageLink,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190311,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190313,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190322,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190408,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190420,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190421,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_DISP_TL_UG_S_5,Facebook / PageLink,20190424,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_1,Instagram / Video,20190314,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_1,Instagram / Video,20190325,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_2,Instagram / Video,20190403,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190311,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190320,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190402,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190403,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190404,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190417,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190421,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190422,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190425,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_IG_VID_TL_UG_D_3,Instagram / IGStories,20190426,1,1,1,1,1,0:00:00,0:00:00
FY19 National College Fair - April 18 Email CID_34c421c8682febca4e50053e8f45a518,cmadm / email,20190418,1,1,1,1,1,0:00:00,0:00:00
FY19 National College Fair - March 26 Email CID_acd0873b26e1fe281741e1a3233d7a6e,cmadm / email,20190329,1,1,1,1,1,0:00:00,0:00:00
FY19 National College Fair - March 6 Email Preview CID_41e74233c97942c39f5c90dcfeb74a63,cmadm / email,20190306,1,1,1,1,1,0:00:00,0:00:00
