date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
08/15/2018,/discover/thank-you,(direct),(none),(not set),(not set),Massachusetts,Boston,1,0,0,1,0,2,1,0
08/15/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,County Louth,Dundalk,1,0,35,0,0,2,0,0
08/16/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Portland,1,0,8,0,0,2,0,0
08/18/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),Kinshasa,1,0,66,0,0,4,0,0
08/18/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Pennsylvania,Kutztown,1,0,126,0,0,6,1,0
08/19/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New Hampshire,Concord,1,0,24,0,0,2,0,0
08/19/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2019_Transfer,Uttar Pradesh,Kanpur,1,0,0,0,0,2,1,0
08/22/2018,/everyone-complete-your-degree/thank-you,LinkedIn,SponsoredPost,AG_ALL_GRMuskieSchool,FY2019_GradMuskie,Maine,Lewiston,1,0,31,0,0,2,0,0
08/22/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),(not set),1,0,54,0,0,2,0,0
08/22/2018,/everyone-high-school-students/thank-you,LinkedIn,SponsoredPost,AG_ALL_GRMuskieSchool,FY2019_GradMuskie,Maine,Lewiston,1,0,14,0,0,2,0,0
08/22/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Saco,1,0,22,0,0,4,0,0
08/23/2018,/everyone-transfer-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_TR_UG_S_2,FY2019_Transfer,Maine,Kennebunk,1,0,28,0,0,2,0,0
08/24/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New York,New York,1,0,34,0,0,2,0,0
08/24/2018,/welcome-degree-completion-seekers/thank-you,LinkedIn,PageLink,WA,FY2018_Degree_Completion,Maine,Lewiston,1,0,14,0,0,2,0,0
08/26/2018,/everyone-high-school-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_HS_UG_S_2,FY2019_Undergrad,New Hampshire,Portsmouth,1,0,0,0,0,2,1,0
08/26/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Scarborough,1,0,40,0,0,2,0,0
08/27/2018,/everyone-transfer-students/thank-you,google,cpc,Earn Your Degree in Maine,FY2019_Transfer,Maine,Ellsworth,1,0,31,0,0,1,0,0
08/28/2018,/everyone-degree-completion/thank-you,Doubleclick Bid Manager,Display,fa19_br_dbm_disp_all_uni_s_10,FY2019_Umbrella,New York,Getzville,1,0,0,0,0,1,1,0
08/28/2018,/everyone-online-degree-seekers/thank-you,Doubleclick Bid Manager,Display,fa19_br_dbm_disp_all_uni_s_10,FY2019_Umbrella,New York,Getzville,1,0,59,0,0,3,0,0
08/28/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2019_Transfer,Maine,Gray,1,0,22,0,0,1,0,0
08/30/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,Univ. of Southern Maine,FY2019_Graduate,Maine,Waterville,1,0,296,0,0,1,0,0
08/30/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),Addis Ababa,1,0,40,0,0,2,0,0
08/30/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Cairo Governorate,Cairo,1,0,11,0,0,1,0,0
08/31/2018,/everyone-high-school-students/thank-you,Facebook,LinkAd,FA19_IG_FB_DISP_HS_UG_S_4,FA19UG,New York,New York,1,0,0,0,0,1,1,0
08/31/2018,/everyone-transfer-students/thank-you,Facebook,PageLink,FA19_IG_FB_VID_ALL_UNI_D_2,FY2019_Transfer,Maine,Saco,1,0,0,0,0,1,1,0
09/02/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,Graduate Degree Programs,FY2019_Graduate,Kentucky,Lebanon,1,0,0,0,0,1,1,0
09/02/2018,/everyone-high-school-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_TL_UG_S_3,FY2019_Undergrad,Massachusetts,Brockton,1,1,0,1,0,1,1,0
09/02/2018,/everyone-transfer-students/thank-you,google,cpc,Earn Your Maine College Degree,FY2019_Transfer,Connecticut,Glastonbury,1,0,3,0,0,1,0,0
09/03/2018,/everyone-graduate-degree-seekers/thank-you,Facebook,Page Link,FA19_IG_FB_VID_WA_GR_D_1,FY2019_Graduate,Maine,Scarborough,1,0,16,0,0,2,1,0
09/03/2018,/everyone-high-school-students/thank-you,Snapchat,TopSnap,fa19_ig_sc_vid_hs_ug_d_1,FY2019_Undergrad,Maine,Gorham,1,0,0,0,0,1,1,0
09/03/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,(not set),(not set),1,0,0,0,0,1,1,0
09/04/2018,/everyone-high-school-students/thank-you,Google,Gmail,fa19_ig_gm_text_wa_dc_s_3,FY2019_DegreeCompleters,Maine,Lewiston,1,0,38,0,0,1,0,0
09/05/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Orono,1,0,36,0,0,1,0,0
09/05/2018,/everyone-high-school-students/thank-you,Doubleclick Bid Manager,Display,fa19_ig_dbm_disp_tl_ug_s_6,FY2019_Undergrad,New York,Getzville,1,0,115,1,0,2,1,115
