date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration,Code_Audience
07/27/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Maine,Lewiston,1,0,53,0,0,1,0,0,HS - Thank You
07/28/2017,/begin/thank-you,TargetX,Email,SearchEmail4,FY17_Search_4J,New York,New York,1,1,0,1,0,1,1,0,NA
07/29/2017,/begin/thank-you,TargetX,Email,SearchEmail4,FY17_Search_4J,Florida,Orlando,1,0,33,0,0,1,0,0,NA
07/29/2017,/begin/thank-you,TargetX,Email,SearchEmail4,FY17_Search_4J,Massachusetts,Lawrence,1,0,0,0,0,1,1,0,NA
07/29/2017,/everyone-graduate-degree/thank-you,google,cpc,University of Southern Maine,FY2017_Graduate,Lagos,Lagos,1,0,24,0,0,2,0,0,GR - Thank You
07/29/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Lagos,Lagos,1,0,35,0,0,1,0,0,HS - Thank You
07/31/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Indiana,Terre Haute,1,0,16,0,0,1,0,0,HS - Thank You
08/10/2017,/begin/thank-you,TargetX,Email,SearchEmail5,FY17_Search_4J,Maine,Westbrook,1,0,0,0,0,1,1,0,NA
08/12/2017,/begin/thank-you,TargetX,Email,SearchEmail5,FY17_Search_4J,New Hampshire,Hollis,1,0,0,0,0,1,1,0,NA
08/13/2017,/begin/thank-you,TargetX,Email,SearchEmail5,FY17_Search_4J,Maine,Camden,1,0,11,0,0,1,0,0,NA
08/15/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,Tbilisi,Tbilisi,1,0,0,0,0,1,1,0,HS - Thank You
08/16/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_ME_HS,FY2018_Undergrad,Maine,Auburn,1,0,1694,0,0,5,0,0,HS - Thank You
08/16/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,California,Ventura,1,0,0,0,0,1,1,0,HS - Thank You
08/17/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,New Jersey,Sparta Township,1,0,27,0,0,1,0,0,HS - Thank You
08/18/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,Islamabad Capital Territory,Islamabad,1,0,0,0,0,1,1,0,HS - Thank You
08/18/2017,/welcome-high-school-students/thank-you,google,cpc,{KeyWord:Earn Your Bachelor's Degree},FY2018_Undergrad,Maine,Lewiston,1,0,100,0,0,1,0,0,HS - Thank You
08/18/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,(not set),Addis Ababa,1,0,843,1,0,1,0,1030,HS - Thank You
08/20/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2018_Transfer,Maine,Auburn,1,0,10,0,0,1,0,0,CU - Thank You
08/21/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,Maine,Bangor,1,0,0,0,0,1,1,0,GR - Thank You
08/22/2017,/begin/thank-you,TargetX,Email,SearchEmail6,FY17_Search_4J,Maine,Freeport,1,0,0,0,0,1,1,0,NA
08/22/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,Master's Degree Program,FY2018_Graduate,Connecticut,Avon,1,0,16,0,0,1,0,0,GR - Thank You
08/22/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,Maine,Freeport,1,0,48,0,0,2,0,0,GR - Thank You
08/23/2017,/begin/thank-you,TargetX,Email,SearchEmail6,FY17_Search_4J,Massachusetts,Dracut,1,0,0,0,0,1,1,0,NA
08/23/2017,/begin/thank-you,TargetX,Email,SearchEmail6,FY17_Search_4J,Massachusetts,Methuen,1,0,0,0,0,1,1,0,NA
08/23/2017,/begin/thank-you,TargetX,Email,SearchEmail6,FY17_Search_4J,New Hampshire,Rindge,1,0,13,0,0,1,0,0,NA
08/23/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Pennsylvania,Doylestown,1,0,10,0,0,1,0,0,CU - Thank You
08/24/2017,/begin/thank-you,TargetX,Email,SearchEmail6,FY17_Search_4J,Massachusetts,Boston,1,0,70,0,0,1,0,0,NA
08/24/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_ME_HS,FY2018_Undergrad,Maine,Brunswick,1,0,0,0,0,1,1,0,HS - Thank You
08/24/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Massachusetts,Boston,1,0,15,0,0,1,0,0,HS - Thank You
08/24/2017,/welcome-transfer-students/thank-you,Facebook,LeadGen,CU_TR,FY2018_Transfer,New York,Scotchtown,1,0,0,0,0,1,1,0,CU - Thank You
08/27/2017,/begin/thank-you,TargetX,Email,SearchEmail4,FY17_Search_4J,Massachusetts,Newton,1,1,0,1,0,1,1,0,NA
08/28/2017,/begin/thank-you,TargetX,Email,SearchEmail4,FY17_Search_4J,Massachusetts,Newton,1,1,0,1,0,1,1,0,NA
