Date,landingPagePath,source,medium,Ad,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
3/18/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2,FY2020_Undergrad,Maine,Fryeburg,1,1,0,1,1,1,1,0
3/18/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_3,FY2020_Undergrad,Rhode Island,Providence,1,1,0,1,1,1,1,0
3/18/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),Istanbul,Istanbul,5,0,458,1,0,5,1,459
3/18/2019,/visit,YAHOO,ORGANIC,(NOT SET),(not set),Connecticut,Norwich,3,0,233,1,0,4,1,233
3/18/2019,/visit,YOUVISIT.COM,REFERRAL,(NOT SET),(not set),New York,New York,2,0,310,1,1,3,1,310
3/18/2019,/visit?fbclid=IwAR04Xvfycrv-vJtwa2n7HINITNDqXV9odozMnQk_crj6rlRng2wjI9zQqXw,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_3,FY2020_Undergrad,(not set),(not set),1,1,0,1,1,1,1,0
3/18/2019,/visit?fbclid=IwAR1MWnwg9e8SSvAJYvTMj1FWGDMkrK1lNIvnTdUQRRX67RtDAJhX-EcwLJ4,FB/IG,LINKAD,FA20_ER_FB_VID_HS_UG_D_1,FY2020_Undergrad,West Bengal,Kolkata,1,1,0,1,1,1,1,0
3/18/2019,/visit?fbclid=IwAR3x7cxLT_n6oRkSDEsxqNOm_ntUMSj5UkaysfpNqVyto3Rg1_bO8mcHZn4,FB/IG,CAROUSEL,FA20_ER_FB_CAR_HS_UG_I_1,FY2020_UnderGrad,California,(not set),1,1,0,1,1,1,1,0
3/19/2019,/gallery/visiting-artist-shawn-oconnor,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,South Portland,1,1,0,1,1,1,1,0
3/19/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),Maine,Lewiston,1,1,0,1,1,1,1,0
3/19/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),Maine,Sanford,1,1,0,1,1,1,1,0
3/19/2019,/visit,DIRECT,(NONE),(NOT SET),(not set),Maine,Windham,1,1,0,1,1,1,1,0
3/19/2019,/visit,BING,ORGANIC,(NOT SET),(not set),Iowa,Council Bluffs,1,0,360,1,0,2,1,360
3/19/2019,/visit,FB/IG,CAROUSEL,FA20_ER_FB_CAR_HS_UG_I_1,FY2020_UnderGrad,Maine,Calais,1,1,0,1,1,1,1,0
